,fc,fl
1254,0.02,0.19
1255,0.02,0.19
1256,0.02,0.19
1257,0.02,0.19
1258,0.02,0.19
1259,0.03,0.19
1260,0.03,0.19
1261,0.03,0.19
1262,0.03,0.19
1263,0.03,0.19
1264,0.03,0.2
1265,0.03,0.2
1266,0.03,0.2
1267,0.03,0.2
1268,0.03,0.2
1269,0.03,0.19
1270,0.03,0.19
1271,0.03,0.19
1272,0.03,0.19
1273,0.03,0.19
1274,0.03,0.19
1275,0.03,0.19
1276,0.03,0.19
1277,0.03,0.19
1278,0.03,0.19
1279,0.03,0.19
1280,0.03,0.19
1281,0.03,0.19
1282,0.03,0.19
1283,0.03,0.19
1284,0.03,0.19
1285,0.03,0.18
1286,0.03,0.18
1287,0.03,0.18
1288,0.03,0.18
1289,0.03,0.18
1290,0.03,0.18
1291,0.03,0.18
1292,0.03,0.18
1293,0.03,0.18
1294,0.03,0.18
1295,0.03,0.18
1296,0.03,0.18
1297,0.03,0.18
1298,0.03,0.18
1299,0.03,0.18
1300,0.03,0.18
1301,0.03,0.18
1302,0.02,0.19
1303,0.02,0.19
1304,0.02,0.19
1305,0.02,0.19
1306,0.02,0.2
1307,0.02,0.2
1308,0.02,0.2
1309,0.02,0.2
1310,0.02,0.2
1311,0.02,0.21
1312,0.02,0.21
1313,0.02,0.22
1314,0.02,0.22
1315,0.02,0.22
1316,0.02,0.22
1317,0.01,0.23
1318,0.01,0.23
1319,0.01,0.23
1320,0.01,0.23
1321,0.01,0.23
1322,0.01,0.23
1323,0.01,0.23
1324,0.01,0.23
1325,0.01,0.23
1326,0.01,0.23
1327,0.01,0.23
1328,0.01,0.23
1329,0.01,0.23
1330,0.01,0.23
1331,0.01,0.23
1332,0.01,0.23
1333,0.01,0.23
1334,0.01,0.23
1335,0.01,0.23
1336,0.01,0.22
1337,0.01,0.23
1338,0.01,0.23
1339,0.01,0.23
1340,0.01,0.23
1341,0.01,0.23
1342,0.01,0.23
1343,0.01,0.23
1344,0.01,0.23
1345,0.01,0.23
1346,0.01,0.23
1347,0.01,0.23
1348,0.01,0.23
1349,0.01,0.23
1350,0.01,0.23
1351,0.01,0.23
1352,0.01,0.23
1353,0.01,0.24
1354,0.01,0.24
1355,0.01,0.24
1356,0.01,0.24
1357,0.01,0.23
1358,0.01,0.23
1359,0.01,0.23
